"","x"
"1",0.0100000000002183
"2",0.2199999999998
"3",0.420000000000073
"4",0.630000000000109
"5",0.829999999999927
"6",1.03999999999996
"7",1.26999999999998
"8",1.4699999999998
"9",1.75
"10",1.88999999999987
"11",2.07999999999993
"12",2.32000000000016
"13",2.52999999999975
"14",2.7199999999998
"15",2.92000000000007
"16",3.12000000000035
